Table 12 - Branch Data

ID#       =  Branch identifier.
             Inter area branches are indicated by double letter ID.
             Circuits on a common tower have hyphenated ID#.
Lam-p     =  0..
Dur       =  Permanent Outage Duration (Hours).
Lam-t     =  Transient Outage Rate (outages/year).
Con       =  Continuous rating.
LTE       =  Long-time emergency rating (24 hour).
STE       =  Short-time emergency rating (15 minute).
Tr        =  Transformer off-nominal ratio.
             Transformer branches are indicated by Tr <> 0.

 ID  From  To  L -  Perm.     Tran.   R     X     B   Con LTE STE Tr
 #    Bus Bus miles Lam-p Dur Lam-t   pu    pu    pu  MVA MVA MVA pu
--------------------------------------------------------------------------
A1    101 102   3   0.24    16  0.0  0.003 0.014 0.461 175 193 200 0
A2    101 103  55   0.51    10  2.9  0.055 0.211 0.057 175 208 220 0
A3    101 105  22   0.33    10  1.2  0.022 0.085 0.023 175 208 220 0
A4    102 104  33   0.39    10  1.7  0.033 0.127 0.034 175 208 220 0
A5    102 106  50   0.48    10  2.6  0.050 0.192 0.052 175 208 220 0
A6    103 109  31   0.38    10  1.6  0.031 0.119 0.032 175 208 220 0
A7    103 124   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
A8    104 109  27   0.36    10  1.4  0.027 0.104 0.028 175 208 220 0
A9    105 110  23   0.34    10  1.2  0.023 0.088 0.024 175 208 220 0
A10   106 110  16   0.33    35  0.0  0.014 0.061 2.459 175 193 200 0
A11   107 108  16   0.30    10  0.8  0.016 0.061 0.017 175 208 220 0
AB1   107 203  42   0.44    10  2.2  0.042 0.161 0.044 175 208 220 0
A12-1 108 109  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
A13-2 108 110  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
A14   109 111   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
A15   109 112   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
A16   110 111   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
A17   110 112   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
A18   111 113  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
A19   111 114  29   0.39    11  0.7  0.005 0.042 0.088 500 600 625 0
A20   112 113  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
A21   112 123  67   0.52    11  1.6  0.012 0.097 0.203 500 600 625 0
A22   113 123  60   0.49    11  1.5  0.011 0.087 0.182 500 600 625 0
AB2   113 215  52   0.47    11  1.3  0.010 0.075 0.158 500 600 625 0
A23   114 116  27   0.38    11  0.7  0.005 0.059 0.082 500 600 625 0
A24   115 116  12   0.33    11  0.3  0.002 0.017 0.036 500 600 625 0
A25-1 115 121  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
A25-2 115 121  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
A26   115 124  36   0.41    11  0.9  0.007 0.052 0.109 500 600 625 0
A27   116 117  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
A28   116 119  16   0.34    11  0.4  0.003 0.023 0.049 500 600 625 0
A29   117 118  10   0.32    11  0.2  0.002 0.014 0.030 500 600 625 0
A30   117 122  73   0.54    11  1.8  0.014 0.105 0.221 500 600 625 0
A31-1 118 121  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
A31-2 118 121  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
A32-1 119 120  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
A32-2 119 120  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
A33-1 120 123  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
A33-2 120 123  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
A34   121 122  47   0.45    11  1.2  0.009 0.068 0.142 500 600 625 0
AB3   123 217  51   0.46    11  1.3  0.010 0.074 0.155 500 600 625 0
B1    201 202   3   0.24    16  0.0  0.003 0.014 0.461 175 193 200 0
B2    201 203  55   0.51    10  2.9  0.055 0.211 0.057 175 208 220 0
B3    201 205  22   0.33    10  1.2  0.022 0.085 0.023 175 208 220 0
B4    202 204  33   0.39    10  1.7  0.033 0.127 0.034 175 208 220 0
B5    202 206  50   0.48    10  2.6  0.050 0.192 0.052 175 208 220 0
B6    203 209  31   0.38    10  1.6  0.031 0.119 0.032 175 208 220 0
B7    203 224   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
B8    204 209  27   0.36    10  1.4  0.027 0.104 0.028 175 208 220 0
B9    205 210  23   0.34    10  1.2  0.023 0.088 0.024 175 208 220 0
B10   206 210  16   0.33    35  0.0  0.014 0.061 2.459 175 193 200 0
B11   207 208  16   0.30    10  0.8  0.016 0.061 0.017 175 208 220 0
B12-1 208 209  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
B13-2 208 210  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
B14   209 211   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
B15   209 212   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
B16   210 211   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
B17   210 212   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
B18   211 213  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
B19   211 214  29   0.39    11  0.7  0.005 0.042 0.088 500 600 625 0
B20   212 213  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
B21   212 223  67   0.52    11  1.6  0.012 0.097 0.203 500 600 625 0
B22   213 223  60   0.49    11  1.5  0.011 0.087 0.182 500 600 625 0
B23   214 216  27   0.38    11  0.7  0.005 0.059 0.082 500 600 625 0
B24   215 216  12   0.33    11  0.3  0.002 0.017 0.036 500 600 625 0
B25-1 215 221  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
B25-2 215 221  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
B26   215 224  36   0.41    11  0.9  0.007 0.052 0.109 500 600 625 0
B27   216 217  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
B28   216 219  16   0.34    11  0.4  0.003 0.023 0.049 500 600 625 0
B29   217 218  10   0.32    11  0.2  0.002 0.014 0.030 500 600 625 0
B30   217 222  73   0.54    11  1.8  0.014 0.105 0.221 500 600 625 0
B31-1 218 221  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
B31-2 218 221  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
B32-1 219 220  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
B32-2 219 220  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
B33-1 220 223  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
B33-2 220 223  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
B34   221 222  47   0.45    11  1.2  0.009 0.068 0.142 500 600 625 0
C1    301 302   3   0.24    16  0.0  0.003 0.014 0.461 175 193 200 0
C2    301 303  55   0.51    10  2.9  0.055 0.211 0.057 175 208 220 0
C3    301 305  22   0.33    10  1.2  0.022 0.085 0.023 175 208 220 0
C4    302 304  33   0.39    10  1.7  0.033 0.127 0.034 175 208 220 0
C5    302 306  50   0.48    10  2.6  0.050 0.192 0.052 175 208 220 0
C6    303 309  31   0.38    10  1.6  0.031 0.119 0.032 175 208 220 0
C7    303 324   0   0.02   768  0.0  0.002 0.084 0 400 510 600 1.015
C8    304 309  27   0.36    10  1.4  0.027 0.104 0.028 175 208 220 0
C9    305 310  23   0.34    10  1.2  0.023 0.088 0.024 175 208 220 0
C10   306 310  16   0.33    35  0.0  0.014 0.061 2.459 175 193 200 0
C11   307 308  16   0.30    10  0.8  0.016 0.061 0.017 175 208 220 0
C12-1 308 309  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
C13-2 308 310  43   0.44    10  2.3  0.043 0.165 0.045 175 208 220 0
C14   309 311   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
C15   309 312   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.03
C16   310 311   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
C17   310 312   0   0.02   768  0.0  0.002 0.084 0     400 510 600 1.015
C18   311 313  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
C19   311 314  29   0.39    11  0.7  0.005 0.042 0.088 500 600 625 0
C20   312 313  33   0.40    11  0.8  0.006 0.048 0.100 500 600 625 0
C21   312 323  67   0.52    11  1.6  0.012 0.097 0.203 500 600 625 0
C22   313 323  60   0.49    11  1.5  0.011 0.087 0.182 500 600 625 0
C23   314 316  27   0.38    11  0.7  0.005 0.059 0.082 500 600 625 0
C24   315 316  12   0.33    11  0.3  0.002 0.017 0.036 500 600 625 0
C25-1 315 321  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
C25-2 315 321  34   0.41    11  0.8  0.006 0.049 0.103 500 600 625 0
C26   315 324  36   0.41    11  0.9  0.007 0.052 0.109 500 600 625 0
C27   316 317  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
C28   316 319  16   0.34    11  0.4  0.003 0.023 0.049 500 600 625 0
C29   317 318  10   0.32    11  0.2  0.002 0.014 0.030 500 600 625 0
C30   317 322  73   0.54    11  1.8  0.014 0.105 0.221 500 600 625 0
C31-1 318 321  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
C31-2 318 321  18   0.35    11  0.4  0.003 0.026 0.055 500 600 625 0
C32-1 319 320  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
C32-2 319 320  27.5 0.38    11  0.7  0.005 0.040 0.083 500 600 625 0
C33-1 320 323  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
C33-2 320 323  15   0.34    11  0.4  0.003 0.022 0.046 500 600 625 0
C34   321 322  47   0.45    11  1.2  0.009 0.068 0.142 500 600 625 0
CA-1  325 121  67   0.52    11  1.6  0.012 0.097 0.203 500 600 625 0
CB-1  318 223  72   0.53    11  1.8  0.013 0.104 0.218 500 600 625 0
C35   323 325   0   0.02   768  0.0  0.000 0.009 0     722 893 893 1.00

The circuits which have common Right-Of-Way (ROW) or Common Structure (CS) 
are indicated by loops lettered A - G in the one-line diagrams, 
the common lengths (miles) are as follows:
